"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/Guest.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"2","(default)","src/Guest.java","1","2","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"3","(default)","src/Guest.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","(default)","src/Guest.java","3","4","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"5","(default)","src/Guest.java","3","7","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","(default)","src/Guest.java","3","11","Document empty method","Design Rules","UncommentedEmptyMethod"
"7","(default)","src/MainClass.java","3","9","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"8","(default)","src/MainClass.java","3","9","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"9","(default)","src/MainClass.java","1","9","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"10","(default)","src/MainClass.java","3","9","The class 'mainClass' has a Cyclomatic Complexity of 11 (Highest = 10).","Code Size Rules","CyclomaticComplexity"
"11","(default)","src/MainClass.java","3","11","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","(default)","src/MainClass.java","3","11","The method 'main' has a Cyclomatic Complexity of 10.","Code Size Rules","CyclomaticComplexity"
"13","(default)","src/MainClass.java","5","13","Found 'DD'-anomaly for variable 'conn' (lines '13'-'22').","Controversial Rules","DataflowAnomalyAnalysis"
"14","(default)","src/MainClass.java","5","14","Found 'DD'-anomaly for variable 'stmt' (lines '14'-'23').","Controversial Rules","DataflowAnomalyAnalysis"
"15","(default)","src/MainClass.java","3","15","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"16","(default)","src/MainClass.java","5","15","Found 'DD'-anomaly for variable 'rs' (lines '15'-'24').","Controversial Rules","DataflowAnomalyAnalysis"
"17","(default)","src/MainClass.java","3","19","Local variable 'connectionURL' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"18","(default)","src/MainClass.java","3","20","Local variable 'connectionUser' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"19","(default)","src/MainClass.java","3","21","Local variable 'connectionPass' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
